time_s,eda_uS,phase
85.0,9.5,stroking
85.1,9.42,stroking
85.2,9.03,stroking
85.3,9.3,stroking
85.4,9.25,stroking
85.5,9.18,stroking
85.6,9.16,stroking
85.7,9.18,stroking
85.8,9.06,stroking
85.9,8.91,stroking
86.0,8.98,stroking
86.1,8.94,stroking
86.2,8.89,stroking
86.3,8.74,stroking
86.4,8.79,stroking
86.5,8.72,stroking
86.6,8.59,stroking
86.7,8.64,stroking
86.8,8.59,stroking
86.9,8.52,stroking
87.0,8.52,stroking
87.1,8.45,stroking
87.2,8.4,stroking
87.3,8.47,stroking
87.4,8.33,stroking
87.5,8.18,stroking
87.6,8.3,stroking
87.7,8.06,stroking
87.8,8.23,stroking
87.9,8.15,stroking
88.0,8.13,stroking
88.1,8.01,stroking
88.2,8.03,stroking
88.3,8.01,stroking
88.4,7.91,stroking
88.5,7.91,stroking
88.6,7.67,stroking
88.7,7.79,stroking
88.8,7.69,stroking
88.9,7.64,stroking
89.0,7.5,stroking
89.1,7.69,stroking
89.2,7.71,stroking
89.3,7.5,stroking
89.4,7.62,stroking
89.5,7.57,stroking
89.6,7.5,stroking
89.7,7.35,stroking
89.8,7.47,stroking
89.9,7.37,stroking
90.0,7.42,stroking
90.1,7.28,stroking
90.2,7.2,stroking
90.3,7.37,stroking
90.4,6.93,stroking
90.5,7.2,stroking
90.6,7.08,stroking
90.7,7.2,stroking
90.8,6.79,stroking
90.9,6.93,stroking
91.0,7.01,stroking
91.1,7.01,stroking
91.2,6.93,stroking
91.3,6.59,stroking
91.4,7.1,stroking
91.5,6.71,stroking
91.6,6.74,stroking
91.7,6.86,stroking
91.8,6.88,stroking
91.9,6.84,stroking
92.0,6.54,stroking
92.1,6.86,stroking
92.2,6.79,stroking
92.3,6.74,stroking
92.4,6.42,stroking
92.5,6.74,stroking
92.6,6.71,stroking
92.7,6.52,stroking
92.8,6.69,stroking
92.9,6.71,stroking
93.0,6.71,stroking
93.1,6.27,stroking
93.2,6.71,stroking
93.3,6.54,stroking
93.4,6.76,stroking
93.5,6.54,stroking
93.6,6.62,stroking
93.7,6.62,stroking
93.8,6.35,stroking
93.9,6.62,stroking
94.0,6.49,stroking
94.1,6.84,stroking
94.2,6.42,stroking
94.3,6.54,stroking
94.4,6.67,stroking
94.5,6.59,stroking
94.6,6.54,stroking
94.7,6.27,stroking
94.8,6.69,stroking
94.9,6.4,stroking
95.0,6.47,stroking
95.1,6.67,stroking
95.2,6.84,stroking
95.3,6.67,stroking
95.4,6.52,stroking
95.5,6.71,stroking
95.6,6.59,stroking
95.7,6.57,stroking
95.8,6.62,stroking
95.9,6.79,stroking
96.0,6.74,stroking
96.1,6.62,stroking
