participant,direction,control,log_file,seq_time,first_log_time,last_log_time,stroking_delay_s,stroking_duration_s,eda_file,eda_button_index,eda_button_time,eda_button_sample,eda_stroking_start_sample,eda_stroking_end_sample,time_diff_s,match_quality
S16,orthogonal,FF+PID,20260318_165334_raw.log,16:53:40,16:53:54,16:54:22,13.6,28.7,opensignals_98D3C1FE03C0_16-37-19_converted.txt,1,16:53:40,7279,7415,7702,0.2,GOOD
S16,orthogonal,PID,20260318_165933_raw.log,16:59:38,16:59:52,17:00:21,13.8,29.0,opensignals_98D3C1FE03C0_16-37-19_converted.txt,4,16:59:38,10863,11001,11291,0.2,GOOD
S16,parallel,PID,20260318_171843_raw.log,17:18:54,17:19:08,17:20:46,13.8,98.8,opensignals_98D3C1FE03C0_16-37-19_converted.txt,6,17:18:54,22416,22554,23542,0.3,GOOD
S16,parallel,FF+PID,20260318_172222_raw.log,17:22:39,17:22:53,17:24:32,13.6,98.9,opensignals_98D3C1FE03C0_16-37-19_converted.txt,7,17:22:39,24672,24808,25797,0.2,GOOD
S17,parallel,FF+PID,20260319_143724_raw.log,14:37:53,14:38:07,14:39:47,14.2,99.2,opensignals_98D3C1FE03C0_14-06-58_converted.txt,1,14:37:53,6555,6697,7689,0.4,GOOD
S17,parallel,PID,20260319_144039_raw.log,14:40:45,14:40:58,14:42:37,13.8,98.5,opensignals_98D3C1FE03C0_14-06-58_converted.txt,2,14:40:44,8269,8407,9392,0.4,GOOD
S17,orthogonal,FF+PID,20260319_145245_raw.log,14:53:48,14:54:02,14:54:31,14.2,28.4,opensignals_98D3C1FE03C0_14-06-58_converted.txt,3,14:53:48,16103,16245,16529,0.5,GOOD
S17,orthogonal,PID,20260319_145531_raw.log,14:55:38,14:55:52,14:56:20,13.7,28.8,opensignals_98D3C1FE03C0_14-06-58_converted.txt,4,14:55:37,17201,17338,17626,0.4,GOOD
S18,orthogonal,FF+PID,20260321_161938_raw.log,16:19:49,16:20:03,16:20:32,13.5,28.9,opensignals_98D3C1FE03C0_15-56-09_converted.txt,1,16:19:48,8848,8983,9272,0.7,GOOD
S18,orthogonal,PID,20260321_162329_raw.log,16:23:35,16:23:49,16:24:17,13.8,28.3,opensignals_98D3C1FE03C0_15-56-09_converted.txt,3,16:23:35,11110,11248,11531,0.7,GOOD
S18,parallel,PID,20260321_163806_raw.log,16:38:23,16:38:37,16:40:16,13.8,98.8,opensignals_98D3C1FE03C0_15-56-09_converted.txt,4,16:38:22,19987,20125,21113,0.7,GOOD
S18,parallel,FF+PID,20260321_164301_raw.log,16:43:09,16:43:22,16:45:02,13.3,99.7,opensignals_98D3C1FE03C0_15-56-09_converted.txt,6,16:43:08,22846,22979,23976,0.7,GOOD
S19,parallel,FF+PID,20260324_130408_raw.log,13:04:16,13:04:30,13:06:10,14.1,100.1,opensignals_98D3C1FE03C0_12-33-17_converted.txt,1,13:04:16,7331,7472,8473,0.2,GOOD
S19,parallel,PID,20260324_130711_raw.log,13:07:55,13:08:09,13:09:48,13.8,99.2,opensignals_98D3C1FE03C0_12-33-17_converted.txt,2,13:07:55,9521,9659,10651,0.2,GOOD
S19,orthogonal,PID,20260324_132251_raw.log,13:22:58,13:23:12,13:23:41,13.8,29.1,opensignals_98D3C1FE03C0_12-33-17_converted.txt,3,13:22:58,18552,18690,18981,0.2,GOOD
S19,orthogonal,FF+PID,20260324_132717_raw.log,13:27:52,13:28:06,13:28:35,14.3,28.3,opensignals_98D3C1FE03C0_12-33-17_converted.txt,4,13:27:52,21491,21634,21917,0.2,GOOD
S20,orthogonal,FF+PID,20260324_141745_raw.log,14:18:31,14:18:45,14:19:13,13.6,28.2,opensignals_98D3C1FE03C0_13-34-32_converted.txt,,,7284,7420,7702,0.5,ESTIMATED (avg offset 5 samples from 3 sessions)
S20,orthogonal,PID,20260324_142003_raw.log,14:20:08,14:20:22,14:20:50,13.8,28.3,opensignals_98D3C1FE03C0_13-34-32_converted.txt,2,14:20:07,8250,8388,8671,0.5,GOOD
S20,parallel,PID,20260324_143645_raw.log,14:36:53,14:37:06,14:38:45,13.8,98.7,opensignals_98D3C1FE03C0_13-34-32_converted.txt,3,14:36:52,18298,18436,19423,0.5,GOOD
S20,parallel,FF+PID,20260324_143957_raw.log,14:40:58,14:41:11,14:42:51,13.7,99.2,opensignals_98D3C1FE03C0_13-34-32_converted.txt,4,14:40:57,20747,20884,21876,0.6,GOOD
